infinitive,tense,person,new_example,new_example_english
abitare,presente,io,"Abito in una casa moderna con tre camere da letto nel centro della città","I live in a modern house with three bedrooms in the city center"
abitare,presente,tu,"Tu abiti ancora con i tuoi genitori nella casa dove sei cresciuto?","Do you still live with your parents in the house where you grew up?"
abitare,presente,lui,"Lei abita in un appartamento elegante al quinto piano con vista sul mare","She lives in an elegant apartment on the fifth floor with a sea view"
abitare,presente,noi,"Noi abitiamo in periferia perché cerchiamo più spazio e tranquillità per la famiglia","We live in the suburbs because we seek more space and tranquility for the family"
abitare,presente,voi,"Voi abitate troppo lontano dall'ufficio e perdete due ore al giorno nel traffico","You live too far from the office and lose two hours a day in traffic"
abitare,presente,loro,"Loro abitano in una villa storica che apparteneva ai nonni da tre generazioni","They live in a historic villa that has belonged to grandparents for three generations"
abitare,futuro_semplice,io,"Abiterò in Toscana quando andrò in pensione per godermi la vita di campagna","I will live in Tuscany when I retire to enjoy country life"
abitare,futuro_semplice,tu,"Tu abiterai finalmente nel tuo appartamento nuovo dopo mesi di lavori di ristrutturazione","You will finally live in your new apartment after months of renovation work"
abitare,futuro_semplice,lui,"Lei abiterà a Parigi per un anno grazie alla borsa di studio universitaria","She will live in Paris for a year thanks to the university scholarship"
abitare,futuro_semplice,noi,"Abiteremo insieme in quella casa quando saremo sposati e avremo finito gli studi","We will live together in that house when we are married and have finished studying"
abitare,futuro_semplice,voi,"Voi abiterete in un paese diverso ogni anno per il vostro lavoro internazionale","You will live in a different country each year for your international work"
abitare,futuro_semplice,loro,"Loro abiteranno nella casa dei sogni che stanno progettando con l'architetto da mesi","They will live in the dream house they've been designing with the architect for months"
abitare,passato_prossimo,io,"Ho abitato in cinque città diverse durante la mia carriera universitaria e lavorativa","I lived in five different cities during my university and work career"
abitare,passato_prossimo,tu,"Hai abitato in quella zona abbastanza a lungo da conoscere tutti i vicini?","Have you lived in that area long enough to know all the neighbors?"
abitare,passato_prossimo,lui,"Ha abitato in quella casa per vent'anni prima di trasferirsi in campagna","He lived in that house for twenty years before moving to the countryside"
abitare,passato_prossimo,noi,"Abbiamo abitato in centro città fino a quando sono nati i bambini","We lived in the city center until the children were born"
abitare,passato_prossimo,voi,"Avete abitato in molti paesi diversi grazie al lavoro diplomatico di vostro padre","You lived in many different countries thanks to your father's diplomatic work"
abitare,passato_prossimo,loro,"Hanno abitato insieme per tre anni prima di decidere di sposarsi definitivamente","They lived together for three years before deciding to get married permanently"
aiutare,presente,io,"Aiuto sempre mia nonna a fare la spesa perché non riesce più a portare le borse pesanti","I always help my grandmother with shopping because she can no longer carry heavy bags"
aiutare,presente,tu,"Tu aiuti spesso i tuoi compagni di classe con i compiti di matematica più difficili","You often help your classmates with the most difficult math homework"
aiutare,presente,lui,"Lei aiuta i bambini del quartiere a imparare a leggere durante il tempo libero","She helps neighborhood children learn to read during her free time"
aiutare,presente,noi,"Noi aiutiamo l'associazione locale organizzando eventi di raccolta fondi ogni mese","We help the local association by organizing fundraising events every month"
aiutare,presente,voi,"Voi aiutate sempre chi ha bisogno senza mai chiedere nulla in cambio","You always help those in need without ever asking for anything in return"
aiutare,presente,loro,"Loro aiutano i genitori anziani con le faccende domestiche ogni fine settimana","They help their elderly parents with household chores every weekend"
aiutare,futuro_semplice,io,"Aiuterò mio fratello a traslocare nella sua nuova casa il prossimo sabato mattina","I will help my brother move to his new house next Saturday morning"
aiutare,futuro_semplice,tu,"Tu aiuterai sicuramente molte persone con la tua nuova professione di medico","You will surely help many people with your new profession as a doctor"
aiutare,futuro_semplice,lui,"Lei aiuterà l'azienda a risolvere i problemi tecnologici con la sua esperienza informatica","She will help the company solve technological problems with her computer experience"
aiutare,futuro_semplice,noi,"Aiuteremo tutti i volontari a preparare la festa benefica per l'ospedale pediatrico","We will help all volunteers prepare the charity party for the children's hospital"
aiutare,futuro_semplice,voi,"Voi aiuterete i nuovi studenti stranieri a integrarsi meglio nella scuola italiana","You will help new foreign students integrate better into the Italian school"
aiutare,futuro_semplice,loro,"Loro aiuteranno la comunità locale a ricostruire la scuola danneggiata dal terremoto","They will help the local community rebuild the school damaged by the earthquake"
aiutare,passato_prossimo,io,"Ho aiutato il mio vicino a riparare il tetto della sua casa dopo la tempesta","I helped my neighbor repair his house roof after the storm"
aiutare,passato_prossimo,tu,"Hai aiutato tua sorella a organizzare il matrimonio perfetto con tutti i dettagli","Have you helped your sister organize the perfect wedding with all the details?"
aiutare,passato_prossimo,lui,"Ha aiutato molti studenti a superare gli esami più difficili dell'università","He helped many students pass the most difficult university exams"
aiutare,passato_prossimo,noi,"Abbiamo aiutato la famiglia in difficoltà a trovare una nuova casa dignitosa","We helped the family in difficulty find a new decent home"
aiutare,passato_prossimo,voi,"Avete aiutato l'intera squadra a vincere il campionato con il vostro supporto costante","You helped the entire team win the championship with your constant support"
aiutare,passato_prossimo,loro,"Hanno aiutato tutti i rifugiati a trovare lavoro e casa nella nuova città","They helped all refugees find work and housing in the new city"
alzarsi,presente,io,"Mi alzo sempre alle sei di mattina per fare jogging nel parco prima del lavoro","I always get up at six in the morning to jog in the park before work"
alzarsi,presente,tu,"Ti alzi mai prima delle otto durante il fine settimana o preferisci dormire?","Do you ever get up before eight on weekends or do you prefer to sleep?"
alzarsi,presente,lui,"Si alza dal letto molto lentamente perché soffre di dolori articolari alle gambe","He gets up from bed very slowly because he suffers from joint pain in his legs"
alzarsi,presente,noi,"Ci alziamo tutti insieme per applaudire la fantastica performance dell'orchestra sinfonica","We all get up together to applaud the fantastic performance of the symphony orchestra"
alzarsi,presente,voi,"Vi alzate sempre in piedi quando entra il direttore della scuola nell'aula?","Do you always stand up when the school principal enters the classroom?"
alzarsi,presente,loro,"Si alzano dal tavolo della cena solo dopo che tutti hanno finito di mangiare","They get up from the dinner table only after everyone has finished eating"
alzarsi,futuro_semplice,io,"Mi alzerò prestissimo domani per prendere il primo treno per Milano alle sei","I will get up very early tomorrow to catch the first train to Milan at six"
alzarsi,futuro_semplice,tu,"Ti alzerai dal divano quando finirai di guardare questo film interessante alla televisione?","Will you get up from the couch when you finish watching this interesting movie on TV?"
alzarsi,futuro_semplice,lui,"Si alzerà dal letto solo quando si sentirà completamente guarito dall'influenza","He will get up from bed only when he feels completely recovered from the flu"
alzarsi,futuro_semplice,noi,"Ci alzeremo tutti presto per andare insieme alla gita scolastica in montagna","We will all get up early to go together on the school trip to the mountains"
alzarsi,futuro_semplice,voi,"Vi alzerete dalla sedia quando il professore chiamerà i vostri nomi per l'esame?","Will you get up from the chair when the professor calls your names for the exam?"
