infinitive,tense,person,new_example,new_example_english
nuotare,presente,io,"Nuoto sempre in piscina ogni mattina per mantenermi in forma fisica ottimale","I always swim in pool every morning to maintain optimal physical shape"
nuotare,presente,tu,"Tu nuoti mai nel mare aperto o preferisci le piscine coperte e riscaldate?","Do you ever swim in open sea or do you prefer covered and heated pools?"
nuotare,presente,lui,"Lei nuota come un pesce nell'acqua grazie agli anni di allenamento costante","She swims like fish in water thanks to years of constant training"
nuotare,presente,noi,"Nuotiamo insieme nel lago durante le vacanze estive in montagna","We swim together in lake during summer vacation in mountains"
nuotare,presente,voi,"Voi nuotate spesso durante l'estate o preferite prendere il sole sulla sabbia?","Do you often swim during summer or do you prefer sunbathing on sand?"
nuotare,presente,loro,"Nuotano tutti i giorni nell'oceano nonostante le onde alte e pericolose","They swim every day in ocean despite high and dangerous waves"
nuotare,futuro_semplice,io,"Nuoterò attraverso il canale della Manica per stabilire un nuovo record","I will swim across English Channel to set new record"
nuotare,futuro_semplice,tu,"Tu nuoterai finalmente senza braccioli dopo mesi di lezioni di nuoto?","Will you finally swim without floaties after months of swimming lessons?"
nuotare,futuro_semplice,lui,"Lei nuoterà nelle acque cristalline dei Caraibi durante la luna di miele","She will swim in crystal waters of Caribbean during honeymoon"
nuotare,futuro_semplice,noi,"Nuoteremo insieme nelle piscine naturali che abbiamo scoperto in Islanda","We will swim together in natural pools we discovered in Iceland"
nuotare,futuro_semplice,voi,"Voi nuoterete nella competizione regionale se continuerete ad allenarvi così bene?","Will you swim in regional competition if you continue training so well?"
nuotare,futuro_semplice,loro,"Nuoteranno con i delfini durante l'escursione marina che hanno prenotato","They will swim with dolphins during marine excursion they booked"
nuotare,passato_prossimo,io,"Ho nuotato per due ore consecutive senza mai fermarmi per riposare","I swam for two consecutive hours without ever stopping to rest"
nuotare,passato_prossimo,tu,"Hai nuotato nelle acque gelide del mare del Nord durante il viaggio?","Did you swim in icy waters of North Sea during trip?"
nuotare,passato_prossimo,lui,"Ha nuotato per salvare quel bambino che stava annegando nel fiume","He swam to save that child who was drowning in river"
nuotare,passato_prossimo,noi,"Abbiamo nuotato sotto le cascate durante l'avventura nella giungla tropicale","We swam under waterfalls during adventure in tropical jungle"
nuotare,passato_prossimo,voi,"Avete nuotato abbastanza oggi o volete fare ancora qualche vasca in piscina?","Did you swim enough today or do you want to do few more laps in pool?"
nuotare,passato_prossimo,loro,"Hanno nuotato insieme per l'ultima volta prima che lui si trasferisse","They swam together for last time before he moved away"
pagare,presente,io,"Pago sempre in contanti perché non mi fido completamente delle carte di credito","I always pay in cash because I don't completely trust credit cards"
pagare,presente,tu,"Tu paghi mai con il bancomat o preferisci sempre usare denaro contante?","Do you ever pay with debit card or do you always prefer using cash?"
pagare,presente,lui,"Lei paga tutte le bollette puntualmente per evitare interessi di mora","She pays all bills punctually to avoid late payment interest"
pagare,presente,noi,"Paghiamo a turno quando usciamo a cena insieme per essere sempre equi","We take turns paying when going out for dinner together to always be fair"
pagare,presente,voi,"Voi pagate spesso con il telefono o usate ancora metodi tradizionali?","Do you often pay with phone or do you still use traditional methods?"
