infinitive,tense,person,new_example,new_example_english
lavare,presente,io,"Lavo sempre i piatti subito dopo aver mangiato per non accumularli nel lavandino","I always wash dishes immediately after eating to not accumulate them in sink"
lavare,presente,tu,"Tu lavi mai la macchina a mano o vai sempre all'autolavaggio automatico?","Do you ever wash car by hand or do you always go to automatic car wash?"
lavare,presente,lui,"Lei lava i vestiti dei bambini separatamente dagli altri per evitare danni","She washes children's clothes separately from others to avoid damage"
lavare,presente,noi,"Laviamo insieme le finestre di casa una volta al mese per mantenerle pulite","We wash house windows together once a month to keep them clean"
lavare,presente,voi,"Voi lavate spesso i capelli o aspettate che diventino troppo unti?","Do you often wash your hair or wait until it becomes too greasy?"
lavare,presente,loro,"Lavano sempre le mani prima di mangiare seguendo le regole dell'igiene personale","They always wash hands before eating following personal hygiene rules"
lavare,futuro_semplice,io,"Laverò tutti i vestiti sporchi che si sono accumulati durante la settimana","I will wash all dirty clothes that accumulated during the week"
lavare,futuro_semplice,tu,"Tu laverai finalmente quelle lenzuola che sono sporche da troppi giorni?","Will you finally wash those sheets that have been dirty for too many days?"
lavare,futuro_semplice,lui,"Lei laverà la macchina prima del matrimonio per fare bella figura","She will wash car before wedding to make good impression"
lavare,futuro_semplice,noi,"Laveremo insieme tutti i piatti dopo la grande cena di Natale","We will wash all dishes together after big Christmas dinner"
lavare,futuro_semplice,voi,"Voi laverete i vestiti a mano o userete la lavatrice automatica moderna?","Will you wash clothes by hand or use modern automatic washing machine?"
lavare,futuro_semplice,loro,"Laveranno il pavimento con prodotti ecologici per rispettare l'ambiente","They will wash floor with ecological products to respect environment"
lavare,passato_prossimo,io,"Ho lavato tre carichi di bucato oggi perché avevo accumulato troppi vestiti","I washed three loads of laundry today because I had accumulated too many clothes"
lavare,passato_prossimo,tu,"Hai lavato le mani dopo aver toccato quegli oggetti sporchi nel garage?","Did you wash hands after touching those dirty objects in garage?"
lavare,passato_prossimo,lui,"Ha lavato la macchina prima di venderla per ottenere un prezzo migliore","He washed car before selling it to get better price"
lavare,passato_prossimo,noi,"Abbiamo lavato tutti i vestiti prima di fare le valigie per il viaggio","We washed all clothes before packing suitcases for trip"
lavare,passato_prossimo,voi,"Avete lavato i capelli con lo shampoo nuovo che avete comprato ieri?","Did you wash hair with new shampoo you bought yesterday?"
