abito            ,dress,noun,masculine
acqua            ,water,noun,
adesso           ,now,noun,
adulto           ,adult,adjective,
aereo/aeroplano  ,airplane,noun,
agosto           ,August,noun,
aiuto            ,help,noun,
albergo          ,hotel,noun,
albero           ,tree,noun,
alfabeto         ,alphabet,noun,
alto             ,tall/high,noun,
altro            ,other,noun,
amaro            ,bitter,noun,
amico            ,friend (male),noun,
amore            ,love,noun,
anche            ,also,noun,
ancora           ,again/yet,noun,
animale          ,animal,noun,
animale domestico,pet,noun,masculine
anno             ,year,noun,
annoiato         ,bored,noun,
aperto           ,open,noun,
aprile           ,April,noun,
arancia          ,orange,noun,
arancione        ,orange (color),noun,
arrivederci      ,goodbye,noun,
auto             ,car,noun,
autobus          ,bus,noun,
autunno          ,autumn fall,noun,
azzurro          ,light blue,noun,
bagno            ,bath/bathroom,noun,
ballo            ,dance,noun,
bambina          ,kid (female),noun,
bambino          ,kid (male),noun,
banana           ,banana,noun,
banca            ,bank,noun,
bar              ,bar,noun,
barba            ,beard,noun,
barca            ,boat,noun,
basket           ,basketball,noun,
basso            ,low/small,noun,
bello            ,beautiful/nice,noun,
bene             ,well,noun,
bevanda/bibita   ,drink,noun,
bianco           ,white,noun,
biondo           ,blonde,noun,
bicchiere        ,(drinking) glass,noun,
bici/bicicletta  ,bicycle,noun,
biglietto        ,ticket,noun,
birra            ,beer,noun,
biscotto         ,cookie,noun,
bisogno          ,need,noun,
blu              ,blue,noun,
bocca            ,mouth,noun,
borsa            ,bag,noun,
braccio          ,arm,noun,
bravo            ,good/capable,noun,
buongiorno       ,good morning,noun,
buon pomeriggio  ,good afternoon,noun,
buonanotte       ,good night,noun,
buonasera        ,good evening,noun,
buono            ,good,adjective,
burro            ,butter,noun,
caffè            ,coffee,noun,
calcio           ,soccer/kick,noun,
caldo            ,hot,noun,
calza            ,sock,noun,
camera           ,room,noun,
camera da letto  ,bedroom,noun,
cameriera        ,waitress,noun,
cameriere        ,waiter,noun,
camicia          ,shirt,noun,
cane             ,dog,noun,
canzone          ,song,noun,
capelli          ,hair,noun,
cappello         ,hat,noun,
cappuccino       ,cappuccino,noun,
carne            ,meat,noun,
caro             ,expensive/dear,noun,
carta            ,paper,noun,
casa             ,house/home,noun,
castano          ,brown-haired,noun,
cattivo          ,bad,adjective,
