infinitive,tense,person,new_example,new_example_english
costare,presente,io,"Costo troppo per il budget limitato che questa famiglia ha a disposizione ogni mese","I cost too much for the limited budget this family has available every month"
costare,presente,tu,"Tu costi tanto quanto un'automobile nuova di marca tedesca di alta qualità e lusso","You cost as much as a new German car of high quality and luxury"
costare,presente,lui,"Lei costa più di quanto pensavamo inizialmente quando abbiamo visto il prezzo finale","It costs more than we initially thought when we saw the final price"
costare,presente,noi,"Noi costiamo insieme il doppio del prezzo che avevano preventivato per questo progetto","We cost together double the price they had budgeted for this project"
costare,presente,voi,"Voi costate troppo per le finanze attuali dell'azienda che sta attraversando difficoltà economiche","You cost too much for the current finances of the company going through economic difficulties"
costare,presente,loro,"Loro costano una fortuna ma ne vale sicuramente la pena per la qualità offerta","They cost a fortune but are definitely worth it for the quality offered"
costare,futuro_semplice,io,"Costerò meno dell'anno scorso perché hanno ridotto il prezzo di vendita al pubblico","I will cost less than last year because they reduced the public selling price"
costare,futuro_semplice,tu,"Tu costerai di più se continueranno ad aumentare le tasse sulla vendita","You will cost more if they continue to increase sales taxes"
costare,futuro_semplice,lui,"Lei costerà probabilmente il doppio dopo i lavori di ristrutturazione e miglioramento","It will probably cost double after renovation and improvement work"
costare,futuro_semplice,noi,"Noi costeremo sicuramente meno se riusciremo a trovare un fornitore più conveniente","We will certainly cost less if we manage to find a more affordable supplier"
costare,futuro_semplice,voi,"Voi costerete molto di più durante la stagione turistica estiva di alta affluenza","You will cost much more during the high-traffic summer tourist season"
costare,futuro_semplice,loro,"Loro costeranno una cifra astronomica dopo tutti gli aggiornamenti tecnologici previsti","They will cost an astronomical amount after all planned technological updates"
costare,passato_prossimo,io,"Sono costato molto di più del preventivo iniziale a causa delle spese impreviste","I cost much more than the initial estimate due to unforeseen expenses"
costare,passato_prossimo,tu,"Sei costato esattamente quello che avevamo calcolato nel nostro budget familiare mensile","You cost exactly what we had calculated in our monthly family budget"
costare,passato_prossimo,lui,"È costato tre volte il prezzo originale dopo tutte le modifiche e personalizzazioni","It cost three times the original price after all modifications and customizations"
costare,passato_prossimo,noi,"Siamo costati meno del previsto grazie agli sconti ottenuti durante i saldi estivi","We cost less than expected thanks to discounts obtained during summer sales"
costare,passato_prossimo,voi,"Siete costati troppo per il budget che avevamo stabilito per questo acquisto importante","You cost too much for the budget we had set for this important purchase"
costare,passato_prossimo,loro,"Sono costati una fortuna ma ci hanno dato grande soddisfazione per molti anni","They cost a fortune but gave us great satisfaction for many years"
creare,presente,io,"Creo sempre nuove ricette culinarie sperimentando ingredienti diversi nella mia cucina di casa","I always create new culinary recipes by experimenting with different ingredients in my home kitchen"
creare,presente,tu,"Tu crei opere d'arte magnifiche usando solo materiali riciclati trovati per strada","You create magnificent works of art using only recycled materials found on the street"
creare,presente,lui,"Lei crea atmosfere magiche in ogni ambiente che decora con il suo gusto raffinato","She creates magical atmospheres in every environment she decorates with her refined taste"
creare,presente,noi,"Creiamo insieme progetti innovativi che potrebbero rivoluzionare il mercato tecnologico mondiale","We create innovative projects together that could revolutionize the global technology market"
creare,presente,voi,"Voi create sempre confusione quando organizzate eventi senza pianificare i dettagli in anticipo","You always create confusion when organizing events without planning details in advance"
creare,presente,loro,"Creano prodotti di altissima qualità utilizzando solo le migliori materie prime disponibili","They create very high quality products using only the best raw materials available"
creare,futuro_semplice,io,"Creerò un'azienda di successo che darà lavoro a centinaia di persone qualificate","I will create a successful company that will provide work for hundreds of qualified people"
creare,futuro_semplice,tu,"Tu creerai sicuramente qualcosa di straordinario con tutto il talento che possiedi naturalmente","You will surely create something extraordinary with all the talent you naturally possess"
creare,futuro_semplice,lui,"Lei creerà un giardino botanico meraviglioso dietro la sua casa di campagna","She will create a wonderful botanical garden behind her country house"
creare,futuro_semplice,noi,"Creeremo una fondazione benefica per aiutare i bambini meno fortunati del nostro paese","We will create a charitable foundation to help less fortunate children in our country"
creare,futuro_semplice,voi,"Voi creerete problemi se continuerete a comportarvi in modo irresponsabile e infantile","You will create problems if you continue behaving in an irresponsible and childish manner"
creare,futuro_semplice,loro,"Creeranno un museo dedicato alla storia locale della nostra piccola città di provincia","They will create a museum dedicated to local history of our small provincial town"
creare,passato_prossimo,io,"Ho creato un sito web professionale per la piccola impresa di famiglia","I created a professional website for the small family business"
creare,passato_prossimo,tu,"Hai creato una situazione imbarazzante con le tue parole dette senza riflettere","You created an embarrassing situation with your words spoken without thinking"
creare,passato_prossimo,lui,"Ha creato un capolavoro artistico che è stato esposto in musei internazionali","He created an artistic masterpiece that has been displayed in international museums"
creare,passato_prossimo,noi,"Abbiamo creato ricordi indimenticabili durante la nostra vacanza in famiglia alle Maldive","We created unforgettable memories during our family vacation in the Maldives"
creare,passato_prossimo,voi,"Avete creato un'atmosfera festosa perfetta per celebrare questo anniversario importante","You created a perfect festive atmosphere to celebrate this important anniversary"
creare,passato_prossimo,loro,"Hanno creato un'applicazione mobile che ha rivoluzionato il modo di comunicare","They created a mobile application that revolutionized the way people communicate"
credere,presente,io,"Credo fermamente che l'educazione sia la chiave per un futuro migliore per tutti","I firmly believe that education is the key to a better future for everyone"
credere,presente,tu,"Tu credi ancora nelle favole romantiche o sei diventato più pragmatico con l'età?","Do you still believe in romantic fairy tales or have you become more pragmatic with age?"
credere,presente,lui,"Lei crede ciecamente in tutto quello che le dicono senza verificare mai le informazioni","She blindly believes everything they tell her without ever verifying the information"
credere,presente,noi,"Crediamo tutti nell'importanza dell'amicizia vera che dura per tutta la vita","We all believe in the importance of true friendship that lasts a lifetime"
credere,presente,voi,"Voi credete veramente che sia possibile risolvere tutti i problemi del mondo?","Do you really believe it's possible to solve all the world's problems?"
credere,presente,loro,"Credono fermamente nei valori tradizionali della famiglia che i nonni hanno tramandato","They firmly believe in traditional family values that grandparents have passed down"
credere,futuro_semplice,io,"Crederò nelle tue parole solo quando vedrai i fatti concreti che le supportano","I will believe your words only when I see concrete facts that support them"
credere,futuro_semplice,tu,"Tu crederai finalmente in te stesso quando realizzerai tutti i tuoi talenti nascosti?","Will you finally believe in yourself when you realize all your hidden talents?"
credere,futuro_semplice,lui,"Lei crederà nella magia dell'amore quando incontrerà la persona giusta della sua vita","She will believe in the magic of love when she meets the right person in her life"
credere,futuro_semplice,noi,"Crederemo nel progetto solo dopo aver visto i primi risultati positivi e concreti","We will believe in the project only after seeing the first positive and concrete results"
credere,futuro_semplice,voi,"Voi crederete nell'importanza dello studio quando vedrete i benefici nel vostro futuro?","Will you believe in the importance of studying when you see the benefits in your future?"
credere,futuro_semplice,loro,"Crederanno nel cambiamento solo quando toccheranno con mano i miglioramenti nella società","They will believe in change only when they experience improvements in society firsthand"
credere,passato_prossimo,io,"Ho creduto per anni in quella persona prima di scoprire la sua vera natura","I believed in that person for years before discovering their true nature"
credere,passato_prossimo,tu,"Hai mai creduto così profondamente in qualcosa da rischiare tutto quello che avevi?","Have you ever believed so deeply in something that you risked everything you had?"
credere,passato_prossimo,lui,"Ha creduto nelle sue capacità e alla fine è riuscito a realizzare il sogno","He believed in his abilities and finally managed to achieve his dream"
credere,passato_prossimo,noi,"Abbiamo creduto nell'impossibile e siamo riusciti a superare tutte le difficoltà incontrate","We believed in the impossible and managed to overcome all difficulties encountered"
credere,passato_prossimo,voi,"Avete creduto alle promesse elettorali di quel politico durante l'ultima campagna presidenziale?","Did you believe the electoral promises of that politician during the last presidential campaign?"
credere,passato_prossimo,loro,"Hanno creduto fino all'ultimo nella possibilità di salvare l'azienda di famiglia","They believed until the end in the possibility of saving the family business"
cucinare,presente,io,"Cucino sempre piatti tradizionali italiani utilizzando le ricette segrete della mia famiglia","I always cook traditional Italian dishes using my family's secret recipes"
cucinare,presente,tu,"Tu cucini magnificamente quando hai tempo libero o preferisci ordinare cibo da asporto?","Do you cook magnificently when you have free time or do you prefer ordering takeout food?"
cucinare,presente,lui,"Lei cucina per tutta la famiglia ogni domenica preparando pranzi che durano ore","She cooks for the whole family every Sunday preparing meals that last for hours"
cucinare,presente,noi,"Cuciniamo insieme ogni venerdì sera provando ricette internazionali diverse ogni volta","We cook together every Friday evening trying different international recipes each time"
cucinare,presente,voi,"Voi cucinate spesso piatti vegetariani o preferite sempre carne e pesce nella dieta?","Do you often cook vegetarian dishes or do you always prefer meat and fish in your diet?"
