infinitive,tense,person,new_example,new_example_english
chiedere,presente,io,"Chiedo sempre informazioni dettagliate prima di prendere decisioni importanti per la mia vita","I always ask for detailed information before making important decisions for my life"
chiedere,presente,tu,"Tu chiedi mai aiuto ai professori quando non capisci gli argomenti difficili a scuola?","Do you ever ask teachers for help when you don't understand difficult topics at school?"
chiedere,presente,lui,"Lei chiede sempre il permesso prima di prendere in prestito le cose degli altri","She always asks permission before borrowing other people's things"
chiedere,presente,noi,"Chiediamo scusa ogni volta che facciamo qualcosa di sbagliato senza volerlo veramente","We ask for forgiveness every time we do something wrong without really meaning to"
chiedere,presente,voi,"Voi chiedete spesso sconti nei negozi o pagate sempre il prezzo pieno senza negoziare?","Do you often ask for discounts in stores or do you always pay full price without negotiating?"
chiedere,presente,loro,"Chiedono consigli ai genitori prima di fare scelte importanti per il loro futuro","They ask their parents for advice before making important choices for their future"
chiedere,futuro_semplice,io,"Chiederò un prestito in banca per comprare la casa dei miei sogni in centro città","I will ask for a loan at the bank to buy my dream house in the city center"
chiedere,futuro_semplice,tu,"Tu chiederai finalmente quella ragazza in matrimonio dopo tre anni di fidanzamento?","Will you finally ask that girl to marry you after three years of engagement?"
chiedere,futuro_semplice,lui,"Lei chiederà un aumento di stipendio dopo aver lavorato duramente per due anni","She will ask for a salary raise after working hard for two years"
chiedere,futuro_semplice,noi,"Chiederemo informazioni turistiche quando arriveremo nella città che non conosciamo per niente","We will ask for tourist information when we arrive in the city we don't know at all"
chiedere,futuro_semplice,voi,"Voi chiederete il conto al cameriere quando avrete finito di mangiare al ristorante?","Will you ask the waiter for the check when you have finished eating at the restaurant?"
chiedere,futuro_semplice,loro,"Chiederanno scusa per il ritardo quando si renderanno conto del disagio causato","They will ask for forgiveness for the delay when they realize the inconvenience caused"
chiedere,passato_prossimo,io,"Ho chiesto indicazioni stradali a un passante perché mi ero perso nella città sconosciuta","I asked a passerby for directions because I got lost in the unknown city"
chiedere,passato_prossimo,tu,"Hai mai chiesto un favore così grande ai tuoi amici più cari e fidati?","Have you ever asked for such a big favor from your dearest and most trusted friends?"
chiedere,passato_prossimo,lui,"Ha chiesto la mano di sua figlia al padre durante una cena formale in famiglia","He asked for his daughter's hand from her father during a formal family dinner"
chiedere,passato_prossimo,noi,"Abbiamo chiesto il permesso prima di organizzare la festa nel giardino condominiale","We asked for permission before organizing the party in the condominium garden"
chiedere,passato_prossimo,voi,"Avete chiesto spiegazioni dettagliate sul funzionamento del nuovo sistema di allarme di casa?","Did you ask for detailed explanations about how the new home alarm system works?"
chiedere,passato_prossimo,loro,"Hanno chiesto aiuto economico alla famiglia per superare il momento di difficoltà finanziaria","They asked the family for financial help to overcome the moment of financial difficulty"
chiudere,presente,io,"Chiudo sempre tutte le finestre di casa prima di andare a dormire per sicurezza","I always close all house windows before going to sleep for security"
chiudere,presente,tu,"Tu chiudi mai la porta a chiave quando esci di casa anche per poco tempo?","Do you ever lock the door when you leave home even for a short time?"
chiudere,presente,lui,"Lei chiude il negozio ogni sera alle otto precise dopo una lunga giornata di lavoro","She closes the store every evening at exactly eight after a long work day"
chiudere,presente,noi,"Chiudiamo sempre il gas prima di partire per le vacanze per evitare incidenti domestici","We always turn off the gas before leaving for vacation to avoid domestic accidents"
chiudere,presente,voi,"Voi chiudete spesso gli occhi durante i film di paura o riuscite a guardare tutto?","Do you often close your eyes during scary movies or can you watch everything?"
chiudere,presente,loro,"Chiudono il bar molto tardi perché molti clienti vengono dopo il lavoro serale","They close the bar very late because many customers come after evening work"
chiudere,futuro_semplice,io,"Chiuderò definitivamente questo capitolo della mia vita e inizierò una nuova avventura all'estero","I will definitively close this chapter of my life and start a new adventure abroad"
chiudere,futuro_semplice,tu,"Tu chiuderai finalmente il conto bancario che non usi più da molti anni?","Will you finally close the bank account you haven't used for many years?"
chiudere,futuro_semplice,lui,"Lei chiuderà la valigia domani mattina prima di partire per il viaggio di lavoro","She will close the suitcase tomorrow morning before leaving for the business trip"
chiudere,futuro_semplice,noi,"Chiuderemo tutti i progetti in corso prima di andare in ferie estive per due settimane","We will close all ongoing projects before going on summer vacation for two weeks"
chiudere,futuro_semplice,voi,"Voi chiuderete la società se i debiti continueranno ad aumentare senza controllo?","Will you close the company if debts continue to increase without control?"
chiudere,futuro_semplice,loro,"Chiuderanno la strada principale per lavori di manutenzione che dureranno tre giorni","They will close the main road for maintenance work that will last three days"
chiudere,passato_prossimo,io,"Ho chiuso la porta dell'ufficio e sono andato direttamente a casa per riposarmi","I closed the office door and went directly home to rest"
chiudere,passato_prossimo,tu,"Hai chiuso bene il rubinetto dell'acqua o continua ancora a gocciolare fastidiosamente?","Did you close the water faucet properly or does it still keep dripping annoyingly?"
chiudere,passato_prossimo,lui,"Ha chiuso gli occhi e ha fatto un respiro profondo prima di entrare nell'aula","He closed his eyes and took a deep breath before entering the classroom"
chiudere,passato_prossimo,noi,"Abbiamo chiuso tutte le comunicazioni con quella ditta dopo il comportamento scorretto che hanno tenuto","We closed all communications with that company after the incorrect behavior they showed"
chiudere,passato_prossimo,voi,"Avete chiuso tutti i contratti in sospeso prima della fine dell'anno fiscale aziendale?","Did you close all pending contracts before the end of the company's fiscal year?"
chiudere,passato_prossimo,loro,"Hanno chiuso il ristorante per ristrutturazioni che dureranno almeno due mesi completi","They closed the restaurant for renovations that will last at least two complete months"
